name,slug,description,assets,facets,optionGroups,optionValues,sku,price,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Astro Boy,astro-boy,"Astroboy is an energetic, Sativa-dominant hybrid that combines Apollo 13 genetics with a cross of Ortega and Cinderella 99 bred by TGA Subcool Seeds. A mix of sweet and sour fruit flavors, like citrus and cherry, lead the way towards a heady buzz that is fast-acting and uplifting.\n(Approx. THC content: 27%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",astroboy.jpg,Strain/Effect:Sativa|Category:Flower,"tSize",3.5g,ABFLWR-Sm,50.00,,999,false,,
,,,,,,7g,ABFLWR-Md,95.00,,999,false,,
,,,,,,14g,ABFLWR-Lg,150.00,,999,false,,
,,,,,,28g,ABFLWR-XL,300.00,,999,false,,
Russian Doll,russian-doll,"Russian Doll by Kannabia Seed Company is a sativa-dominant that blooms densely like an indica while offering the balanced effects of a hybrid. Created by crossing Northern Lights x AK-47 x Kuban Sativa, this lemon-scented plant grows to an average height and produces dense, resinous flowers ideal for extraction.\n(Approx. THC content: 29%)\n\nPurchase is for merchandise celebrating this unique cannabis strain,accompanied by a free gift.",russiandoll.jpg,Strain/Effect:Sativa|Category:Flower,"tSize",3.5g,RDFLWR-Sm,50.00,,999,false,,
,,,,,,7g,RDFLWR-Md,100.00,,999,false,,
,,,,,,14g,RDFLWR-Lg,140.00,,999,false,,
,,,,,,28g,RDFLWR-XL,245.00,,999,false,,
Purple Tangie,purple-tangie,"Purple Tangie potency is higher than average. A spin on the citrus-loaded Tangie sativa, Purple Tangie is a flavorful strain that invigorates the spirit with uplifting euphoria. A spin on the citrus-loaded Tangie sativa, Purple Tangie is a flavorful strain that invigorates the spirit with uplifting euphoria.\n(Approx. THC content 32%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",purpletangie.jpg,Strain/Effect:Sativa|Category:Flower,"tSize",3.5g,PTFLWR-Sm,50.00,,999,false,,
,,,,,,7g,PTFLWR-Md,100.00,,999,false,,
,,,,,,14g,PTFLWR-Lg,150.00,,999,false,,
,,,,,,28g,PTFLWR-XL,250.00,,999,false,,
Açaí Berry Gelato,acai-berry-gel,"Bred by Sherbinskis, Açaí Berry Gelato is a sativa-dominant strain from the Gelato family, whose ancestors include Pink Panties and Sunset Sherbert. A full-flavored smoke with tropical, sweet undertones, Acai provides a tasty, carefree high that won’t take you too deep.\n(Approx. THC content: 32%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",acaiberrygel.jpg,Strain/Effect:Sativa|Category:Flower,"tSize",3.5g,ABGFLWR-Sm,50.00,,999,false,,
,,,,,,7g,ABGFLWR-Md,100.00,,999,false,,
,,,,,,14g,ABGFLWR-Lg,170.00,,999,false,,
,,,,,,28g,ABGFLWR-XL,300.00,,999,false,,
Venom OG,venom-og,"Venom OG, also known as ""Venom"" and ""Venom OG Kush,"" is a indica-dominant hybrid made by crossing Poison OG and Rare Dankness #1. It's marked by dense, forest-green buds with a tangle of bright orange hairs. Venom OG has an aroma of skunk, pine, lemon, and diesel.\n(Approx. THC content: 29%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",venomog.jpg,Strain/Effect:Hybrid|Category:Flower,"tSize",3.5g,VOFLWR-Sm,50.00,,999,false,,
,,,,,,7g,VOFLWR-Md,100.00,,999,false,,
,,,,,,14g,VOFLWR-Lg,170.00,,999,false,,
,,,,,,28g,VOFLWR-XL,300.00,,999,false,,
Platinum Cookies,plat-cookies,"Also known as ""Platinum Girl Scout Cookies,"" ""Platinum GSC,"" and ""PGSC"" is a popular hybrid marijuana strain and the next evolution of GSC. This Cup-winning hybrid—a cross of OG Kush, Durban Poison, and a third unknown strain—fills your nose and lungs with sweet notes of berry and candy, followed by a fruity spiciness. Patients with severe pain, nausea, swelling, migraines, and stress should look no further for relief as symptoms both physical and mood-related melt away instantly.\n(Approx THC content: 32%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",platcookies.jpg,Strain/Effect:Hybrid|Category:Flower,"tSize",3.5g,PCFLWR-Sm,45.00,,999,false,,
,,,,,,7g,PCFLWR-Md,90.00,,999,false,,
,,,,,,14g,PCFLWR-Lg,130.00,,999,false,,
,,,,,,28g,PCFLWR-XL,250.00,,999,false,,
Alaskan Blackberry,alaska-blkberry,"Not to be confused with the similarly named ""Blackberry,"" Alaskan Blackberry is a rare evenly balanced hybrid strain (50% indica/50% sativa) created through a cross of the delicious Obama Kush X (Blackberry X Goji OG) strains. With parents like these, you know you're in for one tasty smoke with this baby. Alaskan Blackberry has a super sweet fruity berry flavor with a rich hint of diesel and grapes as you exhale. The aroma is very earthy and spicy with a diesel berry overtone accented by hash and grapes. The effects come on soon after your final exhale, filling your mind with a cerebral lift immediately.\n(Approx THC content: 32%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",alaskanberry.jpg,Strain/Effect:Hybrid|Category:Flower,"tSize",3.5g,ALBFLWR-Sm,50.00,,999,false,,
,,,,,,7g,ALBFLWR-Md,100.00,,999,false,,
,,,,,,14g,ALBFLWR-Lg,150.00,,999,false,,
,,,,,,28g,ALBFLWR-XL,300.00,,999,false,,
Zookies,zookies,"Zookies is a hyrbid made by crosssing Animals Cookies and Original Glue. This strain has a unique aroma and flavor of sweet nutty cookies with a hint of diesel. Zookies is a great choice for someone looking for a strong high without getting stuck in the couch.\n(Approx THC content: 42%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",zookies.jpg,Strain/Effect:Hybrid|Category:Flower,"tSize",3.5g,ZOFLWR-Sm,50.00,,999,false,,
,,,,,,7g,ZOFLWR-Md,100.00,,999,false,,
,,,,,,14g,ZOFLWR-Lg,200.00,,999,false,,
,,,,,,28g,ZOFLWR-XL,400.00,,999,false,,
Gorilla Glue #4,gorilla-glue,"Gorilla Glue #4 weed was developed by GG Strains and is a cross of Sour Dubble, Chocolate Diesel, and Chem's Sister. It is a multi-award-winning strain, having taken first place in both the Michigan and Los Angeles 2014 Cups, in addition to achieving an award at the prestigious High Times Jamaican World Cup.\n(Approx. THC content: 26%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",gg4.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,GGFLWR-Sm,45.00,,999,false,,
,,,,,,7g,GGFLWR-Md,90.00,,999,false,,
,,,,,,14g,GGFLWR-Lg,135.00,,999,false,,
,,,,,,28g,GGFLWR-XL,250.00,,999,false,,
Recon,recon,"Recon is an Indica-dominant that produces light green buds with slight purple hues and red/brown pistils. Its scent and taste are reminiscent of melons, citrus, and fresh soil and undertones of diesel.\n(Approx. THC content: 25%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",recon.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,RCFLWR-Sm,35.00,,999,false,,
,,,,,,7g,RCFLWR-Md,70.00,,999,false,,
,,,,,,14g,RCFLWR-Lg,130.00,,999,false,,
,,,,,,28g,RCFLWR-XL,220.00,,999,false,,
White Cookies,white-cookies,"White Cookies is an Indica-dominant hybrid. It's a cross between White Widow and Girl Scout Cookies that was originally bred by the Canadian seed bank, Crop King Seeds. The White Cookies strain is 60% indica and 40% sativa.\n(Approx. THC content: 30%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",whitecookies.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,WCFLWR-Sm,40.00,,999,false,,
,,,,,,7g,WCFLWR-Md,80.00,,999,false,,
,,,,,,14g,WCFLWR-Lg,140.00,,999,false,,
,,,,,,28g,WCFLWR-XL,230.00,,999,false,,
Jelly Breath,jelly-breath,"Jelly Breath is a cross of Mendo Breath and Do-Si-Dos. Both strains share OG Kush Breath lineage, which brings forward a strong sedative high from head to toe. Dense buds are sugar-coated and often a rich purple hue.\n(Approx. THC content: 29%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",jellybreath.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,JBFLWR-Sm,40.00,,999,false,,
,,,,,,7g,JBFLWR-Md,80.00,,999,false,,
,,,,,,14g,JBFLWR-Lg,140.00,,999,false,,
,,,,,,28g,JBFLWR-XL,230.00,,999,false,,
Wedding Cake,wedding-cake,"Wedding Cake is a hybrid with indica-dominance. It is attained by crossing Cherry Pie and Girl Scout Cookies (GSC). It gives an exceptionally sweet aromatic essence and a fruity flavour. The taste is a perfect combination of sweetness of cookies and fruitiness of a cherry pie.\n(Approx. THC content: 27%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",weddingcake.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,WEFLWR-Sm,45.00,,999,false,,
,,,,,,7g,WEFLWR-Md,80.00,,999,false,,
,,,,,,14g,WEFLWR-Lg,130.00,,999,false,,
,,,,,,28g,WEFLWR-XL,240.00,,999,false,,
Sherbadough,sherbadough,"Bred from a cross of Sherbet and Do Si Dos, this hybrid’s genetics are decidedly indica-leaning. Users describe it as having a distinct Sunday Morning vibe, which is to say, it’s effects are so deeply calming and breezily blissful that consecutive full bowls should probably be reserved for a day free from heavy responsibilities.\n(Approx. THC content: 32%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",sherbadough.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,SDFLWR-Sm,45.00,,999,false,,
,,,,,,7g,SDFLWR-Md,80.00,,999,false,,
,,,,,,14g,SDFLWR-Lg,130.00,,999,false,,
,,,,,,28g,SDFLWR-XL,240.00,,999,false,,
Mochi Gelato,mochi-gelato,"Mochi Gelato, also known as ""Gelato 47"" or simply ""Mochi,"" is a hybrid that promotes creativity and pain relief. Mochi is made by crossing Sunset Sherbet with Thin Mint Girl Scout Cookies. Mochi is known for having beautiful, dense buds with a frosty mixture of colors including purple, jade and bright red.\n(Approx. THC content: 36%)\n\nPurchase is for merchandise celebrating this unique cannabis strain, accompanied by a free gift.",mochi.jpg,Strain/Effect:Indica|Category:Flower,"tSize",3.5g,MGFLWR-Sm,45.00,,999,false,,
,,,,,,7g,MGFLWR-Md,80.00,,999,false,,
,,,,,,14g,MGFLWR-Lg,130.00,,999,false,,
,,,,,,28g,MGFLWR-XL,240.00,,999,false,,